AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Deepa D'Souza,75,F,A1
2,2,Deepa Rao,23,F,A1
3,5,Jayashree Achar,19,F,A1
4,6,Sandeep Nayak,35,M,A1
5,7,Puttaswamy D'Souza,20,M,A1
6,7,Srinivas Gowda,36,M,A2
7,8,Sunita Nayak,29,F,A1
8,9,Shivakumar Gowda,21,M,A1
9,10,Mary Reddy,39,F,A1
10,10,Lokesh Urs,55,M,A2
11,11,Channabasappa Naik,35,M,A1
12,12,Lakshmi Reddy,28,F,A1
13,13,Fathima Iyer,33,F,A1
14,14,Basavaraj Patil,33,M,A1
15,14,Basavaraj Desai,16,M,A2
16,14,Sowmya Urs,16,F,A3
17,14,Roopa Bhandari,28,F,A4
18,16,Jayashree Hegde,21,F,A1
19,16,Yashoda Bhandari,29,F,A2
20,16,Shwetha Iyer,31,F,A3
21,18,Suresh Hegde,49,M,A1
22,19,Shwetha Poojary,16,F,A1
23,19,Ramesh Gowda,39,M,A2
24,20,Puttaswamy Rao,30,M,A1
25,21,Imran Reddy,17,M,A1
26,22,Kamala Desai,25,F,A1
27,22,Nagaraj Naidu,38,M,A2
28,24,Rajesh Setty,38,M,A1
29,25,Ganesh Bhandari,30,M,A1
30,26,Xavier Rao,40,M,A1
31,27,Nandini Gowda,45,F,A1
32,27,Mary Reddy,23,F,A2
33,28,Pradeep Prabhu,21,M,A1
34,29,Geetha Kamath,17,F,A1
35,30,Nagaraj Shetty,84,M,A1
36,31,Fathima Patil,31,F,A1
37,31,Salman Prabhu,69,M,A2
38,32,Shwetha Achar,27,F,A1
39,33,Zainab Rao,37,F,A1
40,34,Mary Naik,31,F,A1
41,35,Puttaswamy Naidu,25,M,A1
42,36,Rajesh Jadhav,29,M,A1
43,37,Nandini Kulkarni,39,F,A1
44,38,Sheela Kumar,19,F,A1
45,39,Prakash Shetty,20,M,A1
46,39,Sunita Reddy,36,F,A2
47,40,Vani Shetty,22,F,A1
48,41,Pallavi Poojary,28,F,A1
49,41,Ayesha Reddy,25,F,A2
50,42,Prakash Prabhu,31,M,A1
51,43,Vijay Rao,16,M,A1
