ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Nirmala Iyer,15,1,1,1,2
2,2,Deepa Shetty,29,2,1,7,2
3,3,Ibrahim Poojary,44,4,1,1,1
4,4,Ganesh Hegde,20,11,1,2,1
5,5,Ganesh D'Souza,77,6,1,1,1
6,6,Ramesh Sheikh,32,10,1,1,1
7,7,Ravi Nayak,41,2,2,1,1
8,8,Vijay Kamath,59,1,1,3,1
9,9,Nandini Reddy,13,4,1,5,2
10,10,Karan Bhandari,43,1,1,7,1
11,11,Fathima D'Souza,32,11,1,7,2
12,12,Santosh Bhandari,24,4,1,1,1
13,12,Lakshmi Reddy,49,5,1,6,2
14,13,Arjun Fernandes,38,8,1,1,1
15,14,Deepa Khan,54,3,1,1,2
16,15,Suresh Desai,41,11,1,3,1
17,16,Lakshmi Patil,37,7,1,3,2
18,17,Radha Desai,75,3,2,2,2
19,18,Umesh D'Souza,33,1,1,1,1
20,18,Vinay Sheikh,27,4,1,3,1
21,19,Sunita Jadhav,55,5,1,1,2
22,20,Nagaraj Shetty,50,3,1,4,1
23,21,Srinivas Khan,25,3,1,1,1
24,22,Nagaraj Kamath,27,7,1,3,1
25,23,Kavya Desai,54,8,2,1,2
26,24,Savitri Iyer,70,6,2,5,2
27,24,Anand Hegde,50,1,1,2,1
28,25,Nirmala Bhat,26,1,1,3,2
29,26,Anitha Kumar,73,6,1,1,2
30,27,Anand Urs,49,5,1,1,1
31,28,Lakshmi D'Souza,20,5,1,3,2
32,29,Fathima Khan,39,7,1,3,2
33,30,Krishna Khan,60,4,1,4,1
34,30,Vani Urs,28,1,1,2,2
35,31,Sheela Hegde,60,1,1,7,2
36,32,Nagaveni Rao,42,1,1,7,2
37,33,Pradeep Nayak,28,1,2,3,1
38,33,Deepak D'Souza,56,7,1,5,1
39,34,Nandini Naidu,10,7,1,1,2
40,35,Puttaswamy Nayak,35,1,1,3,1
41,36,Suresh Urs,29,5,1,1,1
42,37,Nirmala Naidu,38,5,1,3,2
43,38,Geetha Hiremath,40,6,1,2,2
44,39,Fathima Reddy,72,5,3,3,2
45,40,Vijay Hiremath,8,3,1,1,1
46,41,Radha Kamath,95,1,1,1,2
47,41,Harish Nayak,50,3,1,1,1
48,42,John Patil,27,2,1,6,1
49,43,Santosh Fernandes,28,4,1,2,1
50,44,Sowmya Prabhu,25,10,1,1,2
51,45,Nandini Bhat,35,5,1,2,2
52,46,Savitri Shetty,47,2,1,1,2
53,47,Girish Khan,40,10,1,2,1
54,48,Bhagya Jadhav,40,2,1,2,2
55,49,Savitri Iyer,31,6,1,1,2
56,50,Xavier Kulkarni,22,2,1,6,1
57,51,Chandrashekar Shetty,44,3,7,5,1
58,51,Ayesha D'Souza,34,1,1,2,2
59,52,Kiran Pinto,54,9,7,1,1
60,52,Ashok Iyer,43,5,1,5,1
61,53,Nandini D'Souza,53,7,5,2,2
62,54,Imran Kulkarni,37,8,1,5,1
63,55,Shobha Setty,14,9,1,2,2
64,56,Jayashree Reddy,32,4,1,1,2
65,57,Joseph Hiremath,53,4,1,3,1
66,58,Pallavi Sheikh,9,5,1,1,2
67,59,Lokesh Reddy,15,3,1,5,1
68,60,Bhagya Naik,37,11,7,1,2
69,61,Jayashree Prabhu,17,2,1,1,2
70,62,Nagaraj Kumar,24,7,1,1,1
71,63,Bhagya Devaraj,21,3,1,4,2
72,64,Jayashree Bhat,53,2,1,1,2
73,65,Channabasappa Reddy,12,1,1,5,1
74,66,Xavier Reddy,74,2,1,3,1
75,67,Umesh D'Souza,10,7,1,5,1
76,68,Vijay Reddy,20,1,1,1,1
77,69,Shobha Kumar,25,11,1,6,2
78,70,Ibrahim Reddy,39,2,1,2,1
79,70,Abdul Kulkarni,76,2,1,2,1
80,71,Ratna D'Souza,55,3,1,3,2
81,72,Nandini Bhat,54,7,1,2,2
82,73,Salman Prabhu,43,5,1,3,1
83,74,Savitri Sheikh,40,8,1,2,2
84,75,Halappa Desai,33,9,1,2,1
85,76,Ganesh Prabhu,28,8,1,1,1
86,77,Girish Patil,24,4,1,3,1
87,78,Ravi Iyer,30,1,1,6,1
88,79,Nirmala Desai,26,5,2,2,2
89,80,Nirmala Reddy,29,3,1,2,2
90,81,Anand Hegde,30,6,1,3,1
91,82,Rajesh Kulkarni,39,10,1,1,1
92,83,Sunita Patil,10,5,1,1,2
93,84,Vani Kumar,43,3,1,2,2
94,85,Prakash Devaraj,24,2,1,1,1
95,86,Naveen Patil,24,3,1,3,1
96,87,Manjula Gowda,25,6,1,7,2
97,88,Anthony Setty,23,6,1,1,1
98,89,Ratna Reddy,25,2,1,2,2
99,90,Chandrashekar Nayak,33,3,1,1,1
100,91,Nagaraj Naidu,34,5,1,1,1
101,92,Savitri Bhat,56,9,2,3,2
102,93,Shivakumar Kumar,50,3,1,3,1
103,94,Manjula Setty,21,1,1,2,2
104,95,Mahesh Pinto,30,3,1,5,1
105,95,Geetha Nayak,73,1,2,3,2
106,96,Zainab Poojary,52,1,1,2,2
107,97,Deepak Khan,27,2,2,1,1
108,98,Ayesha Hiremath,9,2,1,6,2
109,99,Sandeep Iyer,20,2,1,3,1
110,99,Pushpa Nayak,28,1,1,3,2
111,100,Manjunath Kulkarni,17,2,1,1,1
112,100,Kamala Kumar,32,1,7,5,2
113,101,Arjun Nayak,24,1,1,5,1
114,102,Ashok D'Souza,50,3,2,5,1
115,103,Shivakumar Hiremath,58,2,1,1,1
116,104,Nagaraj Kumar,34,8,1,1,1
117,105,Sunita Kulkarni,43,1,1,1,2
118,106,Channabasappa Hegde,49,4,1,5,1
119,107,Sheela Khan,35,2,1,2,2
120,108,Deepa Fernandes,85,7,1,3,2
121,109,Fathima Reddy,43,9,1,3,2
122,110,Anthony Nayak,13,5,1,3,1
123,111,Nirmala Achar,71,7,7,1,2
124,112,Nagaveni Patil,19,6,1,6,2
125,113,Ratna Iyer,50,6,7,2,2
126,114,Sandeep Shetty,45,4,1,4,1
127,115,Ayesha Desai,30,4,1,6,2
128,116,Geetha Iyer,74,1,2,3,2
129,117,Ayesha Urs,51,6,1,2,2
130,118,Yusuf Setty,36,2,1,2,1
131,119,Kavya Kamath,6,3,5,3,2
132,120,Joseph D'Souza,12,10,1,6,1
133,121,Radha Reddy,46,1,1,7,2
134,122,Vinay Reddy,10,7,1,5,1
135,123,Basavaraj Iyer,36,5,1,4,1
136,124,Sowmya Jadhav,38,2,1,1,2
137,125,Ravi Reddy,10,1,5,5,1
138,126,Ibrahim Rao,46,1,1,6,1
139,127,Ibrahim Gowda,48,3,1,4,1
140,128,Lakshmi Desai,41,8,1,2,2
141,129,Ratna Naik,81,7,1,2,2
142,130,Ayesha Rao,10,5,1,1,2
143,131,Jayashree Khan,57,3,1,1,2
