EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1,1,1,1,10,KGID100000,Santosh Reddy,1975-01-01,1,2,0,2006-09-03
2,1,1,2,10,KGID100001,Lakshmi Patil,1969-12-01,2,4,0,1996-12-23
3,1,1,2,10,KGID100002,Mahesh Hegde,1969-01-01,1,8,0,2011-04-01
4,1,1,2,10,KGID100003,Vinay Reddy,1977-10-23,1,4,0,1996-07-18
5,1,1,3,10,KGID100004,Prakash Bhat,1975-11-22,1,6,0,2018-06-23
6,1,1,3,10,KGID100005,Lokesh Poojary,1980-05-21,1,2,0,1989-11-08
7,1,1,3,10,KGID100006,Girish Patil,1970-03-04,1,1,0,2000-03-18
8,1,1,3,10,KGID100007,Chandrashekar Nayak,1976-12-03,1,8,0,2009-11-15
9,1,1,8,10,KGID100008,Girish Nayak,1984-10-19,1,2,0,2012-07-07
10,1,1,8,10,KGID100009,Naveen Kulkarni,1990-04-11,1,7,0,2000-09-04
11,1,1,8,10,KGID100010,Dinesh Iyer,1975-01-26,1,1,0,2006-09-16
12,1,1,8,10,KGID100011,Geetha Shetty,1994-07-31,2,6,0,2011-08-21
13,1,1,8,10,KGID100012,Basavaraj Nayak,1980-06-23,1,3,0,1995-05-20
14,1,1,8,10,KGID100013,Mahesh Bhandari,1978-04-12,1,7,0,2015-03-11
15,1,2,4,9,KGID100014,Pradeep Naik,1978-04-27,1,2,0,1992-11-24
16,1,2,7,9,KGID100015,Chandrashekar Poojary,1988-01-27,1,8,0,2010-12-04
17,1,2,7,9,KGID100016,Dinesh Jadhav,1977-01-07,1,5,0,2002-11-10
18,1,3,4,9,KGID100017,Naveen Kulkarni,1975-11-17,1,1,0,2005-05-29
19,1,3,7,9,KGID100018,Vijay Kumar,1985-04-29,1,5,0,1999-10-09
20,1,3,7,9,KGID100019,Nagaraj Rao,1977-03-07,1,1,0,2017-10-17
21,1,4,4,9,KGID100020,Krishna Devaraj,1974-01-04,1,4,0,2016-07-02
22,1,4,7,9,KGID100021,Sandeep Patil,1975-12-04,1,3,0,2021-04-29
23,1,4,7,9,KGID100022,Vijay Kamath,1978-04-06,1,7,0,2018-08-21
24,1,5,4,9,KGID100023,Chandrashekar Bhat,1972-01-26,1,8,0,2011-07-30
25,1,5,7,9,KGID100024,Manjunath Iyer,1979-11-12,1,1,0,2016-09-10
26,1,5,7,9,KGID100025,Manjunath Naik,1986-03-15,1,4,0,2016-12-31
27,1,6,4,9,KGID100026,Santosh Nayak,1980-07-26,1,8,0,2019-04-15
28,1,6,7,9,KGID100027,Santosh Desai,1989-03-23,1,7,0,2005-05-09
29,1,6,7,9,KGID100028,Mahesh Achar,1990-02-06,1,8,0,2010-07-08
30,1,7,4,9,KGID100029,Chandrashekar Iyer,1980-02-02,1,2,0,2017-12-03
31,1,7,7,9,KGID100030,Mahesh Rao,1987-04-11,1,5,0,2009-10-26
32,1,7,7,9,KGID100031,Prakash Naik,1991-05-28,1,1,0,1998-04-02
33,1,8,5,8,KGID100032,Yogesh Shetty,1980-10-18,1,7,0,1997-05-05
34,1,8,6,8,KGID100033,Vani Kulkarni,1985-06-30,2,5,0,2023-06-17
35,1,8,6,8,KGID100034,Basavaraj Shetty,1973-02-09,1,5,0,2001-05-03
36,1,8,7,8,KGID100035,Suresh Iyer,1994-03-18,1,1,0,2000-04-05
37,1,8,7,8,KGID100036,Naveen Naik,1980-04-29,1,2,0,1996-04-12
38,1,8,7,8,KGID100037,Chandrashekar Kumar,1993-03-10,1,4,0,2021-09-04
39,1,8,11,8,KGID100038,Dinesh Bhandari,1999-02-24,1,6,0,2021-06-02
40,1,8,11,8,KGID100039,Santosh Nayak,1994-01-31,1,7,0,2001-07-31
41,2,27,5,8,KGID100040,Ravi Kulkarni,1978-05-23,1,2,0,2003-12-01
42,2,27,6,8,KGID100041,Roopa Patil,1984-04-26,2,4,0,2015-10-29
43,2,27,7,8,KGID100042,Kiran Devaraj,1990-05-30,1,1,0,1997-04-05
44,2,27,7,8,KGID100043,Krishna Reddy,1978-08-12,1,5,0,2002-11-15
45,2,27,7,8,KGID100044,Raghavendra Kamath,1992-03-31,1,4,0,2019-08-17
46,2,27,11,8,KGID100045,Vijay Desai,1994-01-22,1,5,0,2003-08-25
47,2,27,11,8,KGID100046,Sandeep Nayak,1999-11-21,1,1,1,2003-06-05
48,2,27,11,8,KGID100047,Manoj Kulkarni,1996-02-16,1,7,0,2015-10-14
49,3,47,5,8,KGID100048,Suresh Bhat,1984-12-03,1,3,0,2014-03-31
50,3,47,6,8,KGID100049,Roopa Shetty,1989-08-05,2,4,0,2012-12-15
51,3,47,6,8,KGID100050,Srinivas Reddy,1979-04-01,1,4,0,1995-06-15
52,3,47,7,8,KGID100051,Manoj Iyer,1990-06-12,1,7,0,2023-10-03
53,3,47,7,8,KGID100052,Chandrashekar Naik,1988-08-26,1,8,0,2018-11-09
54,3,47,7,8,KGID100053,Santosh Gowda,1981-07-16,1,4,0,2014-09-10
