VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,5,Geetha Devaraj,34,2,0
2,7,Ramesh Patil,50,1,0
3,8,Mary Hegde,28,2,0
4,9,Lakshmi Devaraj,59,2,0
5,11,Rekha Hiremath,58,2,0
6,16,Kamala Patil,10,2,0
7,18,Nirmala Desai,43,2,0
8,19,Yashoda Setty,40,2,0
9,30,Prakash Fernandes,25,1,0
10,34,Ramesh Kamath,45,1,0
11,38,Vani Kamath,31,2,0
12,39,Yashoda Achar,18,2,0
13,41,Pushpa Pinto,41,2,0
14,48,Sunita Patil,14,2,0
15,49,Deepa Naik,42,2,0
16,51,Vinay Kumar,38,1,0
17,52,Manjula Reddy,64,2,0
18,53,Rajesh Reddy,32,1,0
19,61,Bhagya Khan,33,2,0
20,62,Muniraju Nayak,88,1,0
21,63,Nagaveni Shetty,49,2,0
22,69,Mary Naik,42,2,0
23,70,Vani Poojary,25,2,0
24,72,Rekha Pinto,25,2,0
25,73,Anitha Pinto,57,2,0
26,82,Manjunath Nayak,25,1,0
27,86,Srinivas Poojary,19,1,0
28,87,Channabasappa Pinto,41,1,0
29,88,Pallavi Bhat,35,2,0
30,89,Lokesh Reddy,95,1,0
31,90,Ayesha Patil,23,2,0
32,91,Rekha Bhat,11,2,0
33,93,Dinesh Nayak,31,1,0
34,97,Prakash Kulkarni,23,1,0
35,99,Karan Nayak,47,1,0
36,100,John Poojary,45,1,0
37,101,Dinesh Sheikh,33,1,0
38,106,Nagaveni Naik,35,2,0
39,108,Anand Fernandes,43,1,0
40,109,Nandini Reddy,33,2,0
41,118,Pallavi Urs,49,2,0
42,123,Fathima Kulkarni,20,2,0
43,126,Ashok Hiremath,27,1,0
44,127,Ashok Pinto,18,1,0
45,132,Sheela Prabhu,46,2,0
46,138,Kiran Bhat,31,1,0
47,142,Mahesh Desai,95,1,0
48,143,Raghavendra Patil,43,1,0
49,145,Jayashree Sheikh,23,2,0
50,147,Prakash Devaraj,40,1,0
51,150,Ayesha Sheikh,44,2,0
52,153,Vani Prabhu,95,2,0
53,157,Girish Rao,27,1,0
54,167,Vani Urs,95,2,0
55,168,Sunita Sheikh,34,2,0
56,170,Manjula Urs,47,2,0
57,176,Savitri Kumar,9,2,0
58,178,Sheela Kulkarni,37,2,0
59,179,Nandini Jadhav,30,2,0
60,186,Prakash Khan,23,1,0
61,188,Fathima Devaraj,12,2,0
62,190,Bhagya Pinto,30,2,0
63,191,Anthony Achar,35,1,0
64,196,Sowmya Devaraj,53,2,0
65,198,Savitri Kamath,35,2,0
66,199,Radha Khan,27,2,0
67,206,Jayashree D'Souza,40,2,0
68,212,Geetha Shetty,28,2,0
69,213,Sheela Devaraj,37,2,0
70,217,Roopa Bhat,49,2,0
71,221,Xavier Devaraj,80,1,0
72,222,Nirmala Jadhav,39,2,0
73,231,Mary Khan,47,2,0
74,232,Sheela Gowda,67,2,0
75,239,Lokesh Naidu,35,1,0
76,240,Vinay Urs,20,1,0
77,247,Radha Prabhu,56,2,0
78,250,Roopa Bhandari,84,2,0
79,251,Nandini Prabhu,56,2,0
80,253,Yusuf Naidu,25,1,0
81,263,Yashoda Naik,57,2,0
82,266,Sheela Kumar,73,2,0
83,269,Karan Khan,85,1,0
84,278,Savitri Reddy,19,2,0
85,282,Jayashree Nayak,51,2,0
86,286,Kamala Iyer,34,2,0
87,291,Ramesh Prabhu,55,1,0
88,297,Anand Achar,40,1,0
89,299,Lokesh Kamath,43,1,0
90,300,Chandrashekar Kumar,42,1,0
91,310,Rekha Hegde,34,2,0
92,314,Manjula Naidu,25,2,0
93,316,Anitha Naidu,16,2,0
94,318,Mary Patil,48,2,0
95,321,Sheela Setty,21,2,0
96,322,Savitri Nayak,29,2,0
97,323,Deepa Shetty,74,2,0
98,325,Mary Shetty,70,2,0
99,328,Vinay Rao,16,1,0
